,over-canon,over-near1,over-near2,over-far1
ground_lightsource,-0.23040454303098212,-2.8974858233680036,-0.5259573105919401,-1.803380245817746
ground_container,2.067834641587951,-4.127299185474886,-0.611368474770493,3.1591155806162883
support,-0.8418296759242472,-6.080512593090845,0.010339887201072984,-0.68761045336004
ground_verticality,-0.5588347497132269,-4.865723727307568,-0.8469500238674895,1.2990843597696369
shortest_distance,-0.4161727837810908,-2.420671417600831,0.12612214875191194,0.8690245085005545
contact_proportion,-0.6633742927046433,-5.909158881752881,-0.2976188469670858,7.341130848642183
above_proportion,1.0602863490781775,-4.5809021295520775,2.5535332099696713,-2.504819948450615
below_proportion,-0.8499066904994329,10.115972530974572,-1.1256378540677938,1.1497325833486236
bbox_overlap_proportion,-0.41378818234356063,-7.342398991826163,-1.1344205842518642,4.142302612582997
horizontal_distance,0.7066359891963376,-2.3078902881276657,-0.15698119860747722,-1.0494856039647122
f_covers_g,1.9403664259953037,12.932226978417487,-0.3466687831584985,-0.5295631958610441
g_covers_f,-0.9234081553351106,-6.45664220588445,1.195918888913821,2.2251039402496007
location_control,-0.748267297466823,-8.543866386112606,-0.20475734026185632,-0.22441646930533748
