,support,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
2,-0.6282480394372745,1.2108034431575931,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,0.2801710072747028,-0.8740550690873288,-0.875450400627552,-0.8053027946095308
5,-0.6282480394372745,-0.3336080490040548,-0.4495031203312162,0.8026561066590434,-0.7484621051199398,-0.20001154142321945,1.8662140266554257,1.536002907966404,-0.6828057146968908,-0.7882001674365253
6,-0.6282480394372745,0.6621464713628337,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,-0.5266517983115712,0.1406157311277462,-0.16702973609106853,-0.8053027946095308
8,-0.6282480394372745,0.6636801276617424,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,-0.5258335325228161,0.13802973891836742,-0.1687969444042555,-0.8053027946095308
11,-0.6282480394372745,-0.387744065621221,-0.4495031203312162,0.8026561066590434,-0.7484621051199398,-0.1790970453566087,-0.4224004781917911,1.4167004589920875,-0.7060572571886653,-0.7990253522920698
14,-0.6282480394372745,1.1626961459572545,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,-0.6995237544122418,0.5118976947943545,0.3896108892105787,-0.8053027946095308
15,-0.6282480394372745,-0.3720802933254971,-0.4495031203312162,0.8026561066590434,-0.7484621051199398,-0.1705665621578149,0.41778414909773,1.536002907966404,-0.6976828253108379,-0.14088258634233616
84,-0.6282480394372745,0.4280888409581513,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,-0.04194871227410145,-0.6625377767659942,1.5240177774945138,-0.8053027946095308
94,-0.6282480394372745,0.4280888409581513,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,-0.04194871227410145,-0.6625377767659942,1.5240177774945138,-0.8053027946095308
96,-0.6282480394372745,0.3607069849769543,-0.4495031203312162,1.3117526811885358,-0.7484621051199398,-0.3570435486078057,0.4302910298861283,-0.6612353814351942,1.5240177774945138,-0.8053027946095308
123,-0.6282480394372745,0.8277587935675917,-0.4495031203312162,-0.9059561524155018,1.6343840719040237,-0.3570435486078057,1.1296360309890146,0.5199981406610299,0.5912981869226291,-0.8052968096737295
124,-0.6282480394372745,-0.4746133759004523,-0.4495031203312162,-0.9059561524155018,1.173550676083062,-0.35695286515686364,-0.2429605322667411,1.536002907966404,-0.6888498550641714,-0.8047318709080369
125,-0.6282480394372745,2.2531623947367074,-0.4495031203312162,-0.9059561524155018,1.6343840719040237,-0.3570435486078057,1.248946179314122,0.13675698730068556,0.9594879407700188,-0.8052035324521594
